dam_name, timetsep, water_level
dam01,54,1291
dam02,54,442
dam03,54,837
dam01,55,1291
dam02,55,442
dam03,55,837
dam01,56,1291
dam02,56,442
dam03,56,837
dam01,57,1200
dam02,57,371
dam03,57,800
dam01,58,1200
dam02,58,371
dam03,58,800
dam01,59,1200
dam02,59,371
dam03,59,800
dam01,60,1200
dam02,60,317
dam03,60,762
dam01,61,1200
dam02,61,317
dam03,61,762
dam01,62,1200
dam02,62,317
dam03,62,762
dam01,63,1283
dam02,63,230
dam03,63,800
dam01,64,1283
dam02,64,230
dam03,64,800
dam01,65,1283
dam02,65,230
dam03,65,800
dam01,66,1287
dam02,66,167
dam03,66,800
dam01,67,1287
dam02,67,167
dam03,67,800
dam01,68,1287
dam02,68,167
dam03,68,800
dam01,69,1275
dam02,69,134
dam03,69,800
dam01,70,1275
dam02,70,134
dam03,70,800
dam01,71,1275
dam02,71,134
dam03,71,800
dam01,72,1200
dam02,72,119
dam03,72,800
dam01,73,1200
dam02,73,119
dam03,73,800
dam01,74,1200
dam02,74,119
dam03,74,800
dam01,75,1200
dam02,75,134
dam03,75,873
dam01,76,1200
dam02,76,134
dam03,76,873
dam01,77,1200
dam02,77,134
dam03,77,873
dam01,78,1200
dam02,78,56
dam03,78,929
dam01,79,1200
dam02,79,56
dam03,79,929
dam01,80,1200
dam02,80,56
dam03,80,929
dam01,81,1200
dam02,81,16
dam03,81,905
dam01,82,1200
dam02,82,16
dam03,82,905
dam01,83,1200
dam02,83,16
dam03,83,905
dam01,84,1270
dam02,84,-14
dam03,84,850
dam01,85,1270
dam02,85,-14
dam03,85,850
dam01,86,1270
dam02,86,-14
dam03,86,850
dam01,87,1311
dam02,87,4
dam03,87,843
dam01,88,1311
dam02,88,4
dam03,88,843
dam01,89,1311
dam02,89,4
dam03,89,843
dam01,90,1342
dam02,90,33
dam03,90,800
dam01,91,1342
dam02,91,33
dam03,91,800
dam01,92,1342
dam02,92,33
dam03,92,800
dam01,93,1414
dam02,93,97
dam03,93,800
dam01,94,1414
dam02,94,97
dam03,94,800
dam01,95,1414
dam02,95,97
dam03,95,800
dam01,96,1467
dam02,96,125
dam03,96,751
dam01,97,1467
dam02,97,125
dam03,97,751
dam01,98,1467
dam02,98,125
dam03,98,751
dam01,99,1482
dam02,99,91
dam03,99,800
dam01,100,1482
dam02,100,91
dam03,100,800
dam01,101,1482
dam02,101,91
dam03,101,800
dam01,102,1493
dam02,102,58
dam03,102,800
dam01,103,1493
dam02,103,58
dam03,103,800
dam01,104,1493
dam02,104,58
dam03,104,800
dam01,105,1564
dam02,105,15
dam03,105,800
dam01,106,1564
dam02,106,15
dam03,106,800
dam01,107,1564
dam02,107,15
dam03,107,800
dam01,108,1467
dam02,108,19
dam03,108,770
dam01,109,1467
dam02,109,19
dam03,109,770
dam01,110,1467
dam02,110,19
dam03,110,770
dam01,111,1501
dam02,111,66
dam03,111,754
dam01,112,1501
dam02,112,66
dam03,112,754
dam01,113,1501
dam02,113,66
dam03,113,754
dam01,114,1518
dam02,114,86
dam03,114,737
dam01,115,1518
dam02,115,86
dam03,115,737
dam01,116,1518
dam02,116,86
dam03,116,737
dam01,117,1463
dam02,117,13
dam03,117,765
dam01,118,1463
dam02,118,13
dam03,118,765
dam01,119,1463
dam02,119,13
dam03,119,765
dam01,120,1435
dam02,120,75
dam03,120,766
dam01,121,1435
dam02,121,75
dam03,121,766
dam01,122,1435
dam02,122,75
dam03,122,766
dam01,123,1367
dam02,123,116
dam03,123,684
dam01,124,1367
dam02,124,116
dam03,124,684
dam01,125,1367
dam02,125,116
dam03,125,684
dam01,126,1433
dam02,126,99
dam03,126,602
dam01,127,1433
dam02,127,99
dam03,127,602
dam01,128,1433
dam02,128,99
dam03,128,602
dam01,129,1445
dam02,129,65
dam03,129,571
dam01,130,1445
dam02,130,65
dam03,130,571
dam01,131,1445
dam02,131,65
dam03,131,571
dam01,132,1457
dam02,132,9
dam03,132,600
dam01,133,1457
dam02,133,9
dam03,133,600
dam01,134,1457
dam02,134,9
dam03,134,600
dam01,135,1500
dam02,135,-18
dam03,135,579
dam01,136,1500
dam02,136,-18
dam03,136,579
dam01,137,1500
dam02,137,-18
dam03,137,579
dam01,138,1521
dam02,138,7
dam03,138,627
dam01,139,1521
dam02,139,7
dam03,139,627
dam01,140,1521
dam02,140,7
dam03,140,627
dam01,141,1495
dam02,141,6
dam03,141,603
dam01,142,1495
dam02,142,6
dam03,142,603
dam01,143,1495
dam02,143,6
dam03,143,603
dam01,144,1518
dam02,144,9
dam03,144,572
dam01,145,1518
dam02,145,9
dam03,145,572
dam01,146,1518
dam02,146,9
dam03,146,572
dam01,147,1509
dam02,147,-54
dam03,147,592
dam01,148,1509
dam02,148,-54
dam03,148,592
dam01,149,1509
dam02,149,-54
dam03,149,592
dam01,150,1469
dam02,150,-38
dam03,150,559
dam01,151,1469
dam02,151,-38
dam03,151,559
dam01,152,1469
dam02,152,-38
dam03,152,559
dam01,153,1475
dam02,153,-30
dam03,153,611
dam01,154,1475
dam02,154,-30
dam03,154,611
dam01,155,1475
dam02,155,-30
dam03,155,611
dam01,156,1501
dam02,156,-11
dam03,156,592
dam01,157,1501
dam02,157,-11
dam03,157,592
dam01,158,1501
dam02,158,-11
dam03,158,592
dam01,159,1495
dam02,159,-28
dam03,159,585
dam01,160,1495
dam02,160,-28
dam03,160,585
dam01,161,1495
dam02,161,-28
dam03,161,585
dam01,162,1566
dam02,162,-94
dam03,162,655
dam01,163,1566
dam02,163,-94
dam03,163,655
dam01,164,1566
dam02,164,-94
dam03,164,655
dam01,165,1540
dam02,165,-129
dam03,165,670
dam01,166,1540
dam02,166,-129
dam03,166,670
dam01,167,1540
dam02,167,-129
dam03,167,670
dam01,168,1573
dam02,168,-59
dam03,168,675
dam01,169,1573
dam02,169,-59
dam03,169,675
dam01,170,1573
dam02,170,-59
dam03,170,675
dam01,171,1570
dam02,171,-61
dam03,171,684
dam01,172,1570
dam02,172,-61
dam03,172,684
dam01,173,1570
dam02,173,-61
dam03,173,684
dam01,174,1532
dam02,174,-130
dam03,174,636
dam01,175,1532
dam02,175,-130
dam03,175,636
dam01,176,1532
dam02,176,-130
dam03,176,636
dam01,177,1529
dam02,177,-171
dam03,177,615
dam01,178,1529
dam02,178,-171
dam03,178,615
dam01,179,1529
dam02,179,-171
dam03,179,615
dam01,180,1515
dam02,180,-158
dam03,180,607
dam01,181,1515
dam02,181,-158
dam03,181,607
dam01,182,1515
dam02,182,-158
dam03,182,607
dam01,183,1494
dam02,183,-256
dam03,183,677
dam01,184,1494
dam02,184,-256
dam03,184,677
dam01,185,1494
dam02,185,-256
dam03,185,677
dam01,186,1567
dam02,186,-268
dam03,186,612
dam01,187,1567
dam02,187,-268
dam03,187,612
dam01,188,1567
dam02,188,-268
dam03,188,612
dam01,189,1565
dam02,189,-316
dam03,189,605
dam01,190,1565
dam02,190,-316
dam03,190,605
dam01,191,1565
dam02,191,-316
dam03,191,605
dam01,192,1518
dam02,192,-340
dam03,192,576
dam01,193,1518
dam02,193,-340
dam03,193,576
dam01,194,1518
dam02,194,-340
dam03,194,576
dam01,195,1513
dam02,195,-331
dam03,195,578
dam01,196,1513
dam02,196,-331
dam03,196,578
dam01,197,1513
dam02,197,-331
dam03,197,578
dam01,198,1452
dam02,198,-306
dam03,198,564
dam01,199,1452
dam02,199,-306
dam03,199,564
dam01,200,1452
dam02,200,-306
dam03,200,564
dam01,201,1449
dam02,201,-296
dam03,201,595
dam01,202,1449
dam02,202,-296
dam03,202,595
dam01,203,1449
dam02,203,-296
dam03,203,595
dam01,204,1430
dam02,204,-303
dam03,204,654
dam01,205,1430
dam02,205,-303
dam03,205,654
dam01,206,1430
dam02,206,-303
dam03,206,654
dam01,207,1421
dam02,207,-277
dam03,207,579
dam01,208,1421
dam02,208,-277
dam03,208,579
dam01,209,1421
dam02,209,-277
dam03,209,579
dam01,210,1495
dam02,210,-276
dam03,210,559
dam01,211,1495
dam02,211,-276
dam03,211,559
dam01,212,1495
dam02,212,-276
dam03,212,559
dam01,213,1526
dam02,213,-288
dam03,213,568
dam01,214,1526
dam02,214,-288
dam03,214,568
dam01,215,1526
dam02,215,-288
dam03,215,568
dam01,216,1526
dam02,216,-254
dam03,216,559
dam01,217,1526
dam02,217,-254
dam03,217,559
dam01,218,1526
dam02,218,-254
dam03,218,559
dam01,219,1534
dam02,219,-264
dam03,219,569
dam01,220,1534
dam02,220,-264
dam03,220,569
dam01,221,1534
dam02,221,-264
dam03,221,569
dam01,222,1571
dam02,222,-202
dam03,222,536
dam01,223,1571
dam02,223,-202
dam03,223,536
dam01,224,1571
dam02,224,-202
dam03,224,536
dam01,225,1530
dam02,225,-194
dam03,225,608
dam01,226,1530
dam02,226,-194
dam03,226,608
dam01,227,1530
dam02,227,-194
dam03,227,608
dam01,228,1596
dam02,228,-239
dam03,228,669
dam01,229,1596
dam02,229,-239
dam03,229,669
dam01,230,1596
dam02,230,-239
dam03,230,669
dam01,231,1574
dam02,231,-269
dam03,231,741
dam01,232,1574
dam02,232,-269
dam03,232,741
dam01,233,1574
dam02,233,-269
dam03,233,741
dam01,234,1598
dam02,234,-284
dam03,234,723
dam01,235,1598
dam02,235,-284
dam03,235,723
dam01,236,1598
dam02,236,-284
dam03,236,723
dam01,237,1562
dam02,237,-240
dam03,237,704
dam01,238,1562
dam02,238,-240
dam03,238,704
dam01,239,1562
dam02,239,-240
dam03,239,704
dam01,240,1572
dam02,240,-189
dam03,240,755
dam01,241,1572
dam02,241,-189
dam03,241,755
dam01,242,1572
dam02,242,-189
dam03,242,755
dam01,243,1526
dam02,243,-162
dam03,243,800
dam01,244,1526
dam02,244,-162
dam03,244,800
dam01,245,1526
dam02,245,-162
dam03,245,800
dam01,246,1548
dam02,246,-162
dam03,246,757
dam01,247,1548
dam02,247,-162
dam03,247,757
dam01,248,1548
dam02,248,-162
dam03,248,757
dam01,249,1501
dam02,249,-205
dam03,249,800
dam01,250,1501
dam02,250,-205
dam03,250,800
dam01,251,1501
dam02,251,-205
dam03,251,800
dam01,252,1483
dam02,252,-201
dam03,252,832
dam01,253,1483
dam02,253,-201
dam03,253,832
dam01,254,1483
dam02,254,-201
dam03,254,832
dam01,255,1470
dam02,255,-225
dam03,255,840
dam01,256,1470
dam02,256,-225
dam03,256,840
dam01,257,1470
dam02,257,-225
dam03,257,840
dam01,258,1433
dam02,258,-233
dam03,258,863
dam01,259,1433
dam02,259,-233
dam03,259,863
dam01,260,1433
dam02,260,-233
dam03,260,863
dam01,261,1414
dam02,261,-222
dam03,261,849
dam01,262,1414
dam02,262,-222
dam03,262,849
dam01,263,1414
dam02,263,-222
dam03,263,849
dam01,264,1368
dam02,264,-223
dam03,264,879
dam01,265,1368
dam02,265,-223
dam03,265,879
dam01,266,1368
dam02,266,-223
dam03,266,879
dam01,267,1364
dam02,267,-222
dam03,267,868
dam01,268,1364
dam02,268,-222
dam03,268,868
dam01,269,1364
dam02,269,-222
dam03,269,868
dam01,270,1449
dam02,270,-247
dam03,270,831
dam01,271,1449
dam02,271,-247
dam03,271,831
dam01,272,1449
dam02,272,-247
dam03,272,831
dam01,273,1437
dam02,273,-298
dam03,273,746
dam01,274,1437
dam02,274,-298
dam03,274,746
dam01,275,1437
dam02,275,-298
dam03,275,746
dam01,276,1479
dam02,276,-332
dam03,276,672
dam01,277,1479
dam02,277,-332
dam03,277,672
dam01,278,1479
dam02,278,-332
dam03,278,672
dam01,279,1548
dam02,279,-288
dam03,279,714
dam01,280,1548
dam02,280,-288
dam03,280,714
dam01,281,1548
dam02,281,-288
dam03,281,714
dam01,282,1459
dam02,282,-303
dam03,282,753
dam01,283,1459
dam02,283,-303
dam03,283,753
dam01,284,1459
dam02,284,-303
dam03,284,753
dam01,285,1556
dam02,285,-306
dam03,285,800
dam01,286,1556
dam02,286,-306
dam03,286,800
dam01,287,1556
dam02,287,-306
dam03,287,800
dam01,288,1563
dam02,288,-320
dam03,288,800
dam01,289,1563
dam02,289,-320
dam03,289,800
dam01,290,1563
dam02,290,-320
dam03,290,800
dam01,291,1592
dam02,291,-323
dam03,291,800
dam01,292,1592
dam02,292,-323
dam03,292,800
dam01,293,1592
dam02,293,-323
dam03,293,800
dam01,294,1591
dam02,294,-321
dam03,294,736
dam01,295,1591
dam02,295,-321
dam03,295,736
dam01,296,1591
dam02,296,-321
dam03,296,736
dam01,297,1655
dam02,297,-239
dam03,297,695
dam01,298,1655
dam02,298,-239
dam03,298,695
dam01,299,1655
dam02,299,-239
dam03,299,695
dam01,300,1677
dam02,300,-241
dam03,300,671
dam01,301,1677
dam02,301,-241
dam03,301,671
dam01,302,1677
dam02,302,-241
dam03,302,671
dam01,303,1657
dam02,303,-282
dam03,303,662
dam01,304,1657
dam02,304,-282
dam03,304,662
dam01,305,1657
dam02,305,-282
dam03,305,662
dam01,306,1624
dam02,306,-270
dam03,306,676
dam01,307,1624
dam02,307,-270
dam03,307,676
dam01,308,1624
dam02,308,-270
dam03,308,676
dam01,309,1659
dam02,309,-238
dam03,309,678
dam01,310,1659
dam02,310,-238
dam03,310,678
dam01,311,1659
dam02,311,-238
dam03,311,678
dam01,312,1592
dam02,312,-275
dam03,312,696
dam01,313,1592
dam02,313,-275
dam03,313,696
dam01,314,1592
dam02,314,-275
dam03,314,696
dam01,315,1629
dam02,315,-253
dam03,315,656
dam01,316,1629
dam02,316,-253
dam03,316,656
dam01,317,1629
dam02,317,-253
dam03,317,656
dam01,318,1698
dam02,318,-220
dam03,318,662
dam01,319,1698
dam02,319,-220
dam03,319,662
dam01,320,1698
dam02,320,-220
dam03,320,662
dam01,321,1795
dam02,321,-177
dam03,321,647
dam01,322,1795
dam02,322,-177
dam03,322,647
dam01,323,1795
dam02,323,-177
dam03,323,647
dam01,324,1815
dam02,324,-259
dam03,324,651
dam01,325,1815
dam02,325,-259
dam03,325,651
dam01,326,1815
dam02,326,-259
dam03,326,651
dam01,327,1783
dam02,327,-269
dam03,327,598
dam01,328,1783
dam02,328,-269
dam03,328,598
dam01,329,1783
dam02,329,-269
dam03,329,598
dam01,330,1833
dam02,330,-272
dam03,330,616
dam01,331,1833
dam02,331,-272
dam03,331,616
dam01,332,1833
dam02,332,-272
dam03,332,616
dam01,333,1855
dam02,333,-222
dam03,333,635
dam01,334,1855
dam02,334,-222
dam03,334,635
dam01,335,1855
dam02,335,-222
dam03,335,635
dam01,336,1882
dam02,336,-193
dam03,336,607
dam01,337,1882
dam02,337,-193
dam03,337,607
dam01,338,1882
dam02,338,-193
dam03,338,607
dam01,339,1957
dam02,339,-216
dam03,339,600
dam01,340,1957
dam02,340,-216
dam03,340,600
dam01,341,1957
dam02,341,-216
dam03,341,600
dam01,342,2023
dam02,342,-250
dam03,342,642
dam01,343,2023
dam02,343,-250
dam03,343,642
dam01,344,2023
dam02,344,-250
dam03,344,642
dam01,345,2036
dam02,345,-201
dam03,345,605
dam01,346,2036
dam02,346,-201
dam03,346,605
dam01,347,2036
dam02,347,-201
dam03,347,605
dam01,348,2060
dam02,348,-247
dam03,348,643
dam01,349,2060
dam02,349,-247
dam03,349,643
dam01,350,2060
dam02,350,-247
dam03,350,643
dam01,351,2090
dam02,351,-260
dam03,351,626
dam01,352,2090
dam02,352,-260
dam03,352,626
dam01,353,2090
dam02,353,-260
dam03,353,626
dam01,354,2058
dam02,354,-259
dam03,354,678
dam01,355,2058
dam02,355,-259
dam03,355,678
dam01,356,2058
dam02,356,-259
dam03,356,678
dam01,357,2084
dam02,357,-251
dam03,357,701
dam01,358,2084
dam02,358,-251
dam03,358,701
dam01,359,2084
dam02,359,-251
dam03,359,701
dam01,360,2088
dam02,360,-258
dam03,360,752
dam01,361,2088
dam02,361,-258
dam03,361,752
dam01,362,2088
dam02,362,-258
dam03,362,752
dam01,363,2156
dam02,363,-219
dam03,363,800
dam01,364,2156
dam02,364,-219
dam03,364,800
dam01,365,2156
dam02,365,-219
dam03,365,800
dam01,366,2154
dam02,366,-276
dam03,366,800
dam01,367,2154
dam02,367,-276
dam03,367,800
dam01,368,2154
dam02,368,-276
dam03,368,800
dam01,369,2195
dam02,369,-343
dam03,369,800
dam01,370,2195
dam02,370,-343
dam03,370,800
dam01,371,2195
dam02,371,-343
dam03,371,800
dam01,372,2136
dam02,372,-392
dam03,372,861
dam01,373,2136
dam02,373,-392
dam03,373,861
dam01,374,2136
dam02,374,-392
dam03,374,861
dam01,375,2135
dam02,375,-435
dam03,375,800
dam01,376,2135
dam02,376,-435
dam03,376,800
dam01,377,2135
dam02,377,-435
dam03,377,800
dam01,378,2183
dam02,378,-403
dam03,378,760
dam01,379,2183
dam02,379,-403
dam03,379,760
dam01,380,2183
dam02,380,-403
dam03,380,760
dam01,381,2148
dam02,381,-403
dam03,381,699
dam01,382,2148
dam02,382,-403
dam03,382,699
dam01,383,2148
dam02,383,-403
dam03,383,699
dam01,384,2130
dam02,384,-373
dam03,384,721
dam01,385,2130
